key,name,invEnv,invRate,pRef,spread,requires,effects
stone_core,石核工具,any,0,0,0.08,,carry:1.1
fire,火,any,0.02,30,0.05,,carry:1.2;unlock_cold:3
handaxe,手斧,any,0.02,50,0.08,stone_core,carry:1.15
clothing,皮毛衣物,any,0.015,40,0.02,stone_core,unlock_cold2:3
microlith,细石器,any,0.015,80,0.08,handaxe,carry:1.3
bow,弓箭,any,0.01,120,0.05,microlith,carry:1.4
canoe,独木舟,coast,0.01,100,0.02,fire,unlock_sea:1
storage,存储,any,0.008,150,0.02,fire,
pottery,陶器,any,0.008,200,0.02,fire,
grinding,研磨器,any,0.01,100,0.02,handaxe,carry:1.15
agriculture,农业（母科技·概念位）,any,0,0,0,,agri:1
seed_wheat,种子·小麦/大麦,seed,0,0,0.008,grinding,agri:4
seed_millet,种子·粟/高粱,seed,0,0,0.008,grinding,agri:3.5
seed_rice,种子·水稻,seed,0,0,0.008,grinding,agri:6
seed_corn,种子·玉米/豆类,seed,0,0,0.008,grinding,agri:5
seed_potato,种子·土豆/块茎,seed,0,0,0.008,grinding,agri:4
